class,cap-shape,cap-surface,cap-color,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,population,habitat
p,x,s,n,f,c,n,k,e,s,s,w,w,p,w,o,p,s,u
e,x,s,y,f,c,b,k,e,s,s,w,w,p,w,o,p,n,g
e,b,s,w,f,c,b,n,e,s,s,w,w,p,w,o,p,n,m
p,x,y,w,f,c,n,n,e,s,s,w,w,p,w,o,p,s,u
e,x,s,g,f,w,b,k,t,s,s,w,w,p,w,o,e,a,g
e,x,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,n,g
e,b,s,w,f,c,b,g,e,s,s,w,w,p,w,o,p,n,m
e,b,y,w,f,c,b,n,e,s,s,w,w,p,w,o,p,s,m
p,x,y,w,f,c,n,p,e,s,s,w,w,p,w,o,p,v,g
e,b,s,y,f,c,b,g,e,s,s,w,w,p,w,o,p,s,m
e,x,y,y,f,c,b,g,e,s,s,w,w,p,w,o,p,n,g
e,x,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,s,m
e,b,s,y,f,c,b,w,e,s,s,w,w,p,w,o,p,s,g
p,x,y,w,f,c,n,k,e,s,s,w,w,p,w,o,p,v,u
e,x,f,n,f,w,b,n,t,s,f,w,w,p,w,o,e,a,g
e,s,f,g,f,c,n,k,e,s,s,w,w,p,w,o,p,y,u
e,f,f,w,f,w,b,k,t,s,s,w,w,p,w,o,e,a,g
p,x,s,n,f,c,n,n,e,s,s,w,w,p,w,o,p,s,g
p,x,y,w,f,c,n,n,e,s,s,w,w,p,w,o,p,s,u
p,x,s,n,f,c,n,k,e,s,s,w,w,p,w,o,p,s,u
e,b,s,y,f,c,b,k,e,s,s,w,w,p,w,o,p,s,m
p,x,y,n,f,c,n,n,e,s,s,w,w,p,w,o,p,v,g
e,b,y,y,f,c,b,k,e,s,s,w,w,p,w,o,p,s,m
e,b,y,w,f,c,b,w,e,s,s,w,w,p,w,o,p,n,m
e,b,s,w,f,c,b,g,e,s,s,w,w,p,w,o,p,s,m
p,f,s,w,f,c,n,n,e,s,s,w,w,p,w,o,p,v,g
e,x,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,n,m
e,x,y,w,f,c,b,w,e,s,s,w,w,p,w,o,p,n,m
e,f,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,y,u
e,x,s,y,f,w,n,n,t,s,s,w,w,p,w,o,p,v,d
e,b,s,y,f,c,b,g,e,s,s,w,w,p,w,o,p,n,m
p,x,y,w,f,c,n,k,e,s,s,w,w,p,w,o,p,s,u
e,x,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,n,m
e,x,y,n,f,c,b,p,e,s,y,w,w,p,w,o,p,y,p
e,b,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,s,m
e,x,f,y,f,w,n,w,t,s,s,w,w,p,w,o,p,v,d
e,s,f,g,f,c,n,k,e,s,s,w,w,p,w,o,p,v,u
p,x,y,n,f,c,n,w,e,s,s,w,w,p,w,o,p,s,u
e,x,f,y,f,w,n,p,t,s,s,w,w,p,w,o,p,v,d
e,b,s,y,f,c,b,k,e,s,s,w,w,p,w,o,p,s,m
e,b,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,s,g
e,x,y,y,f,c,b,n,e,s,y,w,w,p,w,o,p,y,p
e,x,f,n,f,c,n,g,e,s,s,w,w,p,w,o,p,y,u
p,x,y,w,f,c,n,p,e,s,s,w,w,p,w,o,p,v,g
e,x,s,y,f,c,b,w,e,s,s,w,w,p,w,o,p,n,m
e,x,y,w,f,c,b,n,e,s,s,w,w,p,w,o,p,n,g
e,x,y,y,f,c,b,k,e,s,s,w,w,p,w,o,p,s,m
e,x,s,w,f,c,b,w,e,s,s,w,w,p,w,o,p,n,m
e,x,y,y,f,c,b,n,e,s,y,w,w,p,w,o,p,s,p
e,f,y,y,f,c,b,w,e,s,y,w,w,p,w,o,p,s,p
e,x,y,n,f,c,b,w,e,s,y,w,w,p,w,o,p,s,g
e,x,s,w,f,c,b,k,e,s,s,w,w,p,w,o,p,s,g
e,b,s,w,f,c,b,k,e,s,s,w,w,p,w,o,p,n,m
p,x,y,n,f,c,n,k,e,s,s,w,w,p,w,o,p,v,u
p,x,s,w,f,c,n,k,e,s,s,w,w,p,w,o,p,v,u
e,b,y,y,f,c,b,w,e,s,s,w,w,p,w,o,p,s,m
e,f,f,g,f,w,b,n,t,s,s,w,w,p,w,o,e,a,g
e,b,s,w,f,c,b,w,e,s,s,w,w,p,w,o,p,n,g
e,x,s,y,f,c,b,k,e,s,s,w,w,p,w,o,p,n,g
e,x,y,n,f,c,b,p,e,s,y,w,w,p,w,o,p,y,p
e,s,f,g,f,c,n,k,e,s,s,w,w,p,w,o,p,v,u
e,b,y,y,f,c,b,k,e,s,s,w,w,p,w,o,p,s,m
e,b,s,y,f,c,b,g,e,s,s,w,w,p,w,o,p,s,m
e,b,y,y,f,c,b,g,e,s,s,w,w,p,w,o,p,n,m
e,b,y,w,f,c,b,n,e,s,s,w,w,p,w,o,p,s,g
e,f,s,n,f,w,b,k,t,s,s,w,w,p,w,o,e,a,g
e,x,s,w,f,c,b,n,e,s,s,w,w,p,w,o,p,s,g
e,f,y,y,f,c,b,w,e,s,y,w,w,p,w,o,p,s,g
e,x,y,y,f,c,b,w,e,s,s,w,w,p,w,o,p,n,g
e,x,f,g,f,c,n,p,e,s,s,w,w,p,w,o,p,v,u
e,f,f,y,f,w,n,p,t,s,s,w,w,p,w,o,p,v,d
e,b,y,w,f,c,b,g,e,s,s,w,w,p,w,o,p,s,m
e,f,f,y,f,w,n,w,t,s,s,w,w,p,w,o,p,v,d
e,x,y,n,f,c,b,p,e,s,y,w,w,p,w,o,p,s,p
e,b,s,y,f,c,b,k,e,s,s,w,w,p,w,o,p,s,g
e,f,s,y,f,w,n,p,t,s,s,w,w,p,w,o,p,v,d
e,x,s,w,f,w,n,n,t,s,s,w,w,p,w,o,p,v,d
e,f,y,n,f,c,b,p,e,s,y,w,w,p,w,o,p,y,p
p,x,y,n,f,c,n,w,e,s,s,w,w,p,w,o,p,v,u
e,f,y,n,f,c,b,n,e,s,y,w,w,p,w,o,p,y,g
e,x,s,n,f,w,b,k,t,f,s,w,w,p,w,o,e,s,g
p,x,y,w,f,c,n,w,e,s,s,w,w,p,w,o,p,s,g
e,f,f,g,f,c,n,n,e,s,s,w,w,p,w,o,p,y,u
e,x,f,g,f,w,b,n,t,s,s,w,w,p,w,o,e,s,g
e,x,y,y,f,c,b,w,e,s,y,w,w,p,w,o,p,s,g
e,x,s,n,f,w,b,k,t,s,s,w,w,p,w,o,e,s,g
e,b,s,w,f,c,b,w,e,s,s,w,w,p,w,o,p,s,g
e,x,s,w,f,c,b,n,e,s,s,w,w,p,w,o,p,s,g
e,f,y,n,f,c,b,w,e,s,y,w,w,p,w,o,p,y,g
e,s,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,v,u
e,x,f,n,f,c,n,n,e,s,s,w,w,p,w,o,p,y,u
e,b,s,w,f,c,b,k,e,s,s,w,w,p,w,o,p,s,g
e,x,y,y,f,c,b,g,e,s,s,w,w,p,w,o,p,s,g
e,x,y,y,f,c,b,g,e,s,s,w,w,p,w,o,p,n,m
e,x,s,n,f,w,b,n,t,s,s,w,w,p,w,o,e,a,g
e,x,s,w,f,c,b,g,e,s,s,w,w,p,w,o,p,s,g
e,f,y,n,f,c,b,p,e,s,y,w,w,p,w,o,p,s,g
e,x,s,y,f,c,b,n,e,s,s,w,w,p,w,o,p,n,g
e,b,s,w,f,c,b,g,e,s,s,w,w,p,w,o,p,s,g
e,x,y,w,f,c,b,g,e,s,s,w,w,p,w,o,p,s,g
e,x,f,n,f,w,b,p,t,f,s,w,w,p,w,o,e,s,g
e,b,s,y,f,c,b,n,e,s,s,w,w,p,w,o,p,n,g
e,f,y,y,f,c,b,w,e,s,y,w,w,p,w,o,p,s,g
e,x,y,y,f,c,b,n,e,s,y,w,w,p,w,o,p,y,p
e,b,y,w,f,c,b,g,e,s,s,w,w,p,w,o,p,n,g
e,x,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,n,m
e,x,y,y,f,c,b,w,e,s,y,w,w,p,w,o,p,y,g
e,b,y,w,f,c,b,n,e,s,s,w,w,p,w,o,p,s,m
e,b,y,w,f,c,b,g,e,s,s,w,w,p,w,o,p,s,m
e,x,s,y,f,c,b,k,e,s,s,w,w,p,w,o,p,n,m
e,x,s,y,f,c,b,w,e,s,s,w,w,p,w,o,p,n,g
e,s,f,g,f,c,n,g,e,s,s,w,w,p,w,o,p,y,u
e,x,f,w,f,w,n,w,t,s,s,w,w,p,w,o,p,v,d
e,x,s,y,f,c,b,n,e,s,s,w,w,p,w,o,p,n,m
p,x,y,w,f,c,n,n,e,s,s,w,w,p,w,o,p,v,u
e,x,y,y,f,c,b,p,e,s,y,w,w,p,w,o,p,s,g
e,s,f,g,f,c,n,p,e,s,s,w,w,p,w,o,p,y,u
e,x,y,y,f,c,b,w,e,s,y,w,w,p,w,o,p,y,g
e,x,s,y,f,w,n,p,t,s,s,w,w,p,w,o,p,v,d
e,s,f,n,f,c,n,k,e,s,s,w,w,p,w,o,p,y,u
p,x,s,w,f,c,n,k,e,s,s,w,w,p,w,o,p,v,g
e,x,y,w,f,c,b,g,e,s,s,w,w,p,w,o,p,n,m
p,f,y,n,f,c,n,p,e,s,s,w,w,p,w,o,p,v,g
e,f,s,g,f,w,b,k,t,s,s,w,w,p,w,o,e,a,g
e,x,s,y,f,c,b,g,e,s,s,w,w,p,w,o,p,s,m
e,x,s,w,f,w,b,n,t,s,f,w,w,p,w,o,e,s,g
e,b,s,y,f,c,b,w,e,s,s,w,w,p,w,o,p,n,g
e,f,f,g,f,w,b,h,t,s,s,w,w,p,w,o,e,a,g
e,x,s,w,f,c,b,n,e,s,s,w,w,p,w,o,p,n,g
e,b,s,w,f,c,b,n,e,s,s,w,w,p,w,o,p,s,m
e,b,s,w,f,c,b,w,e,s,s,w,w,p,w,o,p,s,g
e,b,y,w,f,c,b,w,e,s,s,w,w,p,w,o,p,s,m
e,f,s,w,f,w,n,w,t,s,s,w,w,p,w,o,p,v,d
e,x,y,y,f,c,b,g,e,s,s,w,w,p,w,o,p,s,m
e,f,s,w,f,w,n,p,t,s,s,w,w,p,w,o,p,v,d
p,x,y,w,f,c,n,w,e,s,s,w,w,p,w,o,p,v,u
e,f,f,w,f,w,n,w,t,s,s,w,w,p,w,o,p,v,d
e,x,y,y,f,c,b,n,e,s,s,w,w,p,w,o,p,s,g
p,x,s,n,f,c,n,p,e,s,s,w,w,p,w,o,p,v,g
